M,T,P,N,W
K,10,0,0,0
C,10,0,0,0
C,30,0,0,0
S,10,0,0,0
S,10,24,84,0
S,10,24,168,0
S,10,24,336,0
S,10,24,672,0
S,10,168,12,0
S,10,168,24,0
S,10,168,48,0
S,10,168,96,0
S,10,672,3,0
S,10,672,6,0
S,10,672,12,0
S,10,672,24,0
S,10,24,77,168
S,10,24,161,168
S,10,24,329,168
S,10,24,665,168
S,10,168,11,168
S,10,168,23,168
S,10,168,47,168
S,10,168,95,168
S,10,672,3,168
S,10,672,6,168
S,10,672,12,168
S,10,672,24,168
S,10,24,56,672
S,10,24,140,672
S,10,24,308,672
S,10,24,644,672
S,10,168,8,672
S,10,168,20,672
S,10,168,44,672
S,10,168,92,672
S,10,672,2,672
S,10,672,5,672
S,10,672,11,672
S,10,672,23,672
